level_0	index	SITEID	DESKTOP_MANUF	OTHER_DESKTOPS	LAPTOP_MANUF	OTHER_LAPTOPS	DESKTOP_VIRTUALIZATION_MANUF	WORKSTATION_MANUF	OTHER_WORKSTATIONS	SERVER_MANUF	SERVER_SERIES	OTHER_SERVERS	OS_MANUF	OS_MODEL	OTHER_OS	SERVER_VIRTUALIZATION_MANUF	NETWORK_PRINTER_MANUF	OTHER_NETWORK_PRINTERS	HIGHVOLUME_PRINTER_MANUF	COPIER_MANUF	UPS_MANUF	DAS_MANUF	NAS_MANUF	SAN_MANUF	TAPE_LIBRARY_MANUF	STORAGE_VIRTUALIZATION_MANUF	STORAGE_MGMT_SW_MANUF	PBX_MANUF	VOIP_MANUF	VOIP_HOSTING	UNIFIED_COMM_SERVICES_MANUF	LONG_DISTANCE_CARRIER	HANDSET_SMARTPHONE_MANUF	HANDSET_SMARTPHONE_OS	CELL_SERVICES_PROVIDER	PBX_MAINT_PROVIDER	MOBILITY_CONTRACT_EXPIRE	NETWORK_LINE_CARRIER	VIDEO_CONF_SERVICES_MANUF	ROUTER_MANUF	SWITCH_MANUF	VPN_MANUF	ISP_PROVIDER	NETWORK_SERVICES_PROVIDER	HOST_REMOTE	ETHERNET_TECH	VPN_CONTRACT_EXPIRE	ASSET_MGMT_SW_MANUF	ENTERPRISE_MGMT_SW_MANUF	IDACCESS_SW_MANUF	APPLICATION_SERVER_SW_MANUF	BUSINESS_INTEL_SW_MANUF	COLLABORATIVE_SW_MANUF	CRM_SW_MANUF	DOC_MGMT_SW_MANUF	APP_CONSOLIDATION_SW_MANUF	ERP_SW_MANUF	ACCOUNTING_SW_MANUF	HUMAN_RES_SW_MANUF	SUPPLY_CHAIN_SW_MANUF	WEB_PORTAL_SW_MANUF	DBMS_MANUF	DATAWAREHOUSE_SW_MANUF	SW_AS_A_SERVICE_ERP_MANUF	SW_AS_A_SERVICE_CRM_MANUF	SW_AS_A_SERVICE_STORAGE_MANUF	SW_AS_A_SERVICE_EMAIL_MANUF	SW_AS_A_SERVICE_OTHER_MANUF	EMAIL_MESSAGING_SW_MANUF	DEVELOPMENT_SW_TOOL	ANTIVIRUS_SW_MANUF	ECOMMERCE_TYPE
259107	259107	208003892											Microsoft	TransactSQL	Yes																									Cisco	Cisco										APACHE	TableauSoft		Salesforce	XEROX		SAP		Oracle		Microsoft	Microsoft			Salesforce		ConstntCont	Microsoft	Salesforce	Docker	TRUSTe	
259118	259118	208004046											LINUX	Linux 2.6	Yes																								AXIS	MikroTik												Oracle			Google							Oracle						ServiceNow		Akamai		
259124	259124	208004112								IBM	INTEL-SERVER		LINUX	Linux 3	Yes	VMware								HP																											APACHE						IBM		SAP			Apache-Soft						IBM	Microsoft	Microsoft	Proofpoint	
259130	259130	208004155											LINUX	Linux 2.4	Yes																									MikroTik											APACHE																					
259132	259132	208004173											Microsoft	Xbox			HP																							Slingbox											APACHE						SAP					Microsoft							EXIM			
259136	259136	208004257											LINUX	Linux 2.6	Yes		LEXMARK																						AXIS	Cisco	Cisco										APACHE																			Akamai		
259140	259140	208004311											Oracle	Java	Yes	Nintex							Nutanix				EMC		Cisco	Cisco										Cisco	Cisco											Alteryx	Apigee	Salesforce	AvePoint		Fujitsu		Oracle	SAP	Microsoft	Oracle			Salesforce			Eloqua	Microsoft	Oracle	Microsoft	
259141	259141	208004315											LINUX	Linux 2.4	Yes		HP																							F5-NETWORKS											APACHE										WordPress	Google							EXIM	COMPILER		
259143	259143	208004347																																						MikroTik											APACHE																					
259150	259150	208004387											Cisco	Cisco IOS																										Cisco	Cisco										APACHE																					
259152	259152	208004412											IBM	OS2	Yes		HP										Oracle													Cisco	Cisco										APACHE	MICRO-STRAT	IBM	Salesforce	Vertafore			INTUIT	WORKDAY		Microsoft	MongoDB			Salesforce			Avature		Jenkins	Microsoft	
259181	259181	208004536											APPLE	MAC-OSX																																					APACHE										WordPress											
259198	259198	208004581				Yes							Microsoft	ASP.NET																																																							GODADDY			
259217	259217	208004613						IBM					Microsoft	Xbox																																															WordPress							Microsoft		COMPILER		
259232	259232	208004652											Microsoft	Xbox			HP																							Slingbox											APACHE			Salesforce			Microsoft		Ulti Soft		WordPress				Salesforce			Ulti Soft				
259234	259234	208004656											Cisco	Cisco IOS																										Cisco	Cisco										APACHE										WordPress	Oracle							Dovecot	COMPILER		
259239	259239	208004663											Microsoft	ASP.NET	Yes	VMware											F5-NETWORKS													F5-NETWORKS	Cisco											MICRO-STRAT		Salesforce			SAP		Kenexa		Microsoft				Salesforce			Kenexa		Microsoft	Microsoft	
259243	259243	208004668																																																																						
259262	259262	208004696											LINUX	Linux 2.6	Yes		HP						Synology																	Slingbox											APACHE										WordPress								Dovecot			
259266	259266	208004700											APPLE	MAC-OSX	Yes		HP																							Cisco	Cisco										APACHE								CERIDIAN			Google										
259412	259412	208004995																																																																						
259435	259435	208005051																																																	APACHE										WordPress	Google								COMPILER		
259452	259452	208005075								IBM	XSERIES																																																													
259464	259464	208005099																																																																						
259473	259473	208005145											Cisco	Cisco IOS																										Cisco	Cisco										APACHE																		Courier		Proofpoint	
259475	259475	208005175											LINUX	Linux 2.4	Yes																									F5-NETWORKS																																
259476	259476	208005211											Microsoft	Xbox	Yes	Nintex	HP										Symantec													SMC	Cisco	JUNIPER															Microsoft				Microsoft	Microsoft							Microsoft	Microsoft	SOURCEFIRE	
259477	259477	208005213																									F5-NETWORKS													Cisco	Cisco										APACHE				Amazon																	
259479	259479	208005225											Microsoft	Xbox			HP																							Cisco	Cisco										APACHE																		Qmail			
259514	259514	208005353																																																																						
259520	259520	208005375											Microsoft	ASP.NET	Yes												F5-NETWORKS													Cisco	Cisco												Adobe									Google						LivePerson		Unbounce		
259522	259522	208005382											Microsoft	ASP.NET	Yes		HP																							NETGEAR	Cisco											IBM					IBM		Oracle			Google						Oracle	Mimecast	KenticoSoft		
259526	259526	208005389											OpenSource	CentOS																																					APACHE										WordPress									COMPILER		
