level_0	index	SITEID	IT_BUDGET	HARDWARE_BUDGET	PC_BUDGET	SERVER_BUDGET	TERMINAL_BUDGET	PRINTER_BUDGET	OTHER_HARDWARE_BUDGET	STORAGE_BUDGET	COMM_BUDGET	SOFTWARE_BUDGET	SERVICES_BUDGET
233215	233215	208066045	27848	2422	1348	152	426	395	821	101	2170	8845	7569
233235	233235	208008376	579838	34690	16446	9744	3580	3041	6621	1879	20357	96366	152449
233237	233237	208008566	2075126	103779	77441	3413	10413	9975	20388	2538	67351	222452	289160
233241	233241	208009307	465803	23179	14128	773	3532	3422	6954	1325	11782	49836	200707
233245	233245	208009374	2009164	174753	118669	9550	19710	18898	38608	7925	156592	638135	546110
233246	233246	208009380	1862679	162012	107202	6448	20957	20151	41108	7254	145175	591609	506294
233247	233247	208009403	1886017	164042	113221	6897	0	16807	0	9075	146994	599022	512637
233248	233248	208009430	640973	38348	18180	10771	3957	3362	7319	2077	22503	106526	168522
233270	233270	208010674	67767	4054	2712	194	502	468	970	179	2379	11262	17817
233274	233274	208010877	150405	8534	3321	2917	886	733	1619	678	6685	40217	36159
233276	233276	208010964	116866	10165	6292	352	0	1408	0	484	9108	37118	31765
233277	233277	208010989	84442	5052	2395	1419	521	443	964	274	2965	14034	22201
233278	233278	208011021	1052028	61343	42629	3119	0	6238	0	2079	32421	201038	358961
233338	233338	208453412	21201	2133	1353	0	0	297	0	169	1384	4572	5943
233342	233342	208453576	23378	1675	942	0	0	308	0	89	761	3309	12124
233344	233344	208453612	21680	1230	479	420	128	106	234	98	964	5797	5212
233346	233346	208453652	23487	1333	519	455	138	114	252	106	1044	6280	5646
233351	233351	208453823	21628	1294	865	62	160	149	309	57	759	3594	5686
233352	233352	208453858	24994	1200	938	0	0	98	0	60	870	4616	9598
233359	233359	208454069	21798	1017	426	262	0	115	0	90	2512	2654	5992
233365	233365	208454145	35518	1776	1325	58	0	171	0	43	1153	3807	4949
233366	233366	208454154	27763	1388	1036	46	0	133	0	34	901	2976	3869
233369	233369	208454233	20651	2078	1318	0	0	289	0	165	1348	4453	5789
233375	233375	208454459	97242	4535	2165	1396	377	330	707	267	11207	11838	26729
233388	233388	208011169	200025	9630	6718	756	911	830	1741	415	2733	60774	34764
233391	233391	208011315	209470	12214	8513	370	1481	1481	2962	370	6455	40029	71473
233392	233392	208011324	164654	9851	4670	2767	1017	864	1881	534	5781	27365	43290
233393	233393	208011359	2228706	133339	63214	37452	13760	11690	25450	7222	78244	370398	585964
233394	233394	208011406	182295	10906	5171	3063	1125	956	2081	591	6400	30296	47928
233395	233395	208011436	881515	76672	55417	3416	7402	7971	15373	2467	68704	279980	239604
233396	233396	208011444	235220	14073	6672	3953	1452	1234	2686	762	8258	39092	61843
233397	233397	208011474	23302	1839	1104	0	0	192	0	264	1436	7338	8111
233398	233398	208011488	488312	29215	19833	1168	0	3176	0	1679	17143	81155	128385
233399	233399	208011494	3645850	317108	236553	14602	0	24580	0	15089	284154	1157965	990977
233400	233400	208011573	28250	2457	1754	104	266	252	518	81	2202	8972	7679
