level_0	index	SITEID	IT_STAFF	WIRELESS_USERS	INTERNET_USERS	DEVELOPERS	PCS	DESKTOPS	LAPTOPS	SERVERS	PRINTERS	COLOR_PRINTERS	MULTIFUNC_PRINTERS	STORAGE	EXTENSIONS	CALLCENTER_CALLERS	NETWORK_LINES	ROUTERS
282049	282049	208073434	1 to 4	1	5 to 9	0	11	9	2	2	3	0	0	50 to 100 TB	0	0	3	0
282065	282065	208105939	0	2	5 to 9	0	10	7	3	1	3	0	0	10 to 25 TB	0	0	0	0
282069	282069	208105989	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282072	282072	208106020	0	1	1 to 4	0	1	0	1	0	1	0	0	50 to 100 TB	0	0	0	0
282074	282074	208106065	0	2	1 to 4	0	11	6	5	0	6	0	0	500 TB to 1 PB	0	0	0	0
282078	282078	208106188		0		0	8	6	2	1	2	0	0	25 to 50 TB	0	0	0	0
282079	282079	208106201	0	0		0	5	4	1	0	2	0	0	25 to 50 TB	0	0	0	0
282083	282083	208106344		3	5 to 9	0	72	49	23	6	15	0	0	100 to 500 TB	0	0	0	0
282085	282085	208106393	0	1	1 to 4	0	1	0	1	0	1	0	0	50 to 100 TB	0	0	0	0
282086	282086	208106395		1	1 to 4	0	36	30	6	7	7	0	0	100 to 500 TB	0	0	0	0
282087	282087	208106429	0	0		0	10	8	2	1	4	0	0	1 to 10 TB	0	0	0	0
282094	282094	208106512	0	3	5 to 9	0	27	20	7	1	7	0	0	25 to 50 TB	0	0	0	0
282100	282100	208106736		0		0	14	12	2	1	4	0	0	10 to 25 TB	0	0	0	0
282101	282101	208106749	0	1	1 to 4	0	5	4	1	0	2	0	0	50 to 100 TB	0	0	0	0
282109	282109	208106931	1 to 4	14	25 to 49	0	53	39	14	5	9	0	0	10 to 25 TB	0	0	0	0
282172	282172	208446700	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282176	282176	208446750	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282178	282178	208446785	0	0			7	5	2	1	2	0	0	50 to 100 TB	0	0	0	0
282179	282179	208446881	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282187	282187	208447030	0	0			11	7	4	0	3	0	0	10 to 25 TB	0	0	0	0
282192	282192	208447262	0	0			12	9	3	1	4	0	0	10 to 25 TB	0	0	0	0
282193	282193	208447265	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282197	282197	208447367	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282205	282205	208447466	0	0			24	19	5	1	6	0	0	1 to 10 TB	0	0	0	0
282206	282206	208447502	0	0			9	7	2	1	3	0	0	1 to 10 TB	0	0	0	0
282207	282207	208447505	0	0			10	7	3	1	3	0	0	10 to 25 TB	0	0	0	0
282210	282210	208447588	0	0			7	5	2	1	2	0	0	50 to 100 TB	0	0	0	0
282214	282214	208447655	0	0			10	7	3	1	3	0	0	10 to 25 TB	0	0	0	0
282225	282225	208073908	1 to 4	5	10 to 24	0	20	15	5	2	5	0	0	10 to 25 TB	0	0	3	0
282240	282240	208074828	1 to 4	9	10 to 24	0	21	14	7	3	5	0	0	100 to 500 TB	0	0	3	0
282250	282250	208075214	1 to 4	6	10 to 24	0	22	14	8	4	5	0	0	500 TB to 1 PB	0	0	4	0
282266	282266	208075665	1 to 4	2	5 to 9	0	9	8	1	1	3	0	0	1 to 10 TB	0	0	3	0
282270	282270	208075726	1 to 4	3	5 to 9	0	21	14	7	3	5	0	0	100 to 500 TB	0	0	2	0
282275	282275	208106997	0	12	25 to 49	0	53	45	8	6	12	0	0	25 to 50 TB	0	0	0	0
282280	282280	208107074	5 to 9	32	50 to 99	0	148	128	20	20	29	0	0	100 to 500 TB	0	0	0	0
282286	282286	208107154	1 to 4	0		0	67	54	13	5	12	0	0	100 to 500 TB	0	0	0	0
282294	282294	208107273	25 to 49	76	100 to 249	0	489	400	89	49	96	0	0	100 to 500 TB	0	0	0	0
282296	282296	208107305	0	0		0	0	0	0	0	0	0	0		0	0	0	0
282304	282304	208107396	5 to 9	23	50 to 99	0	92	70	22	8	17	0	0	25 to 50 TB	0	0	0	0
282319	282319	208107620	0	0			4	3	1	0	2	0	0	1 to 10 TB	0	0	0	0
282325	282325	208107756	0	0			7	5	2	0	2	0	0	1 to 10 TB	0	0	0	0
282329	282329	208447851	0	0			5	3	2	0	2	0	0	10 to 25 TB	0	0	0	0
282334	282334	208448025	0	0			13	10	3	1	4	0	0	1 to 10 TB	0	0	0	0
282344	282344	208448214	0	0			12	9	3	1	4	0	0	10 to 25 TB	0	0	0	0
282351	282351	208448334	0	0			12	9	3	1	3	0	0	10 to 25 TB	0	0	0	0
282354	282354	208448404	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282357	282357	208448575	0	0			12	7	5	0	3	0	0	10 to 25 TB	0	0	0	0
282367	282367	208448821	0	0			8	6	2	1	2	0	0	1 to 10 TB	0	0	0	0
282374	282374	208448933	0	0			8	7	1	1	3	0	0	1 to 10 TB	0	0	0	0
282380	282380	208449138	0	0			9	8	1	1	3	0	0	1 to 10 TB	0	0	0	0
282508	282508	208076075	0	2	5 to 9	0	9	6	3	1	3	0	0	100 to 500 TB	0	0	2	0
282511	282511	208076135	1 to 4	11	25 to 49	0	12	9	3	1	4	0	0	1 to 10 TB	0	0	3	0
282526	282526	208076580	0	2	5 to 9	0	7	5	2	0	2	0	0	1 to 10 TB	0	0	3	0
282527	282527	208076620	0	6	5 to 9	0	12	8	4	2	3	0	0	100 to 500 TB	0	0	2	0
282540	282540	208076805	0	5	10 to 24	0	10	8	2	1	3	0	0	1 to 10 TB	0	0	3	0
282542	282542	208076815	0	2	5 to 9	0	6	5	1	0	2	0	0	1 to 10 TB	0	0	2	0
282558	282558	208107880	0	0			5	4	1	0	2	0	0	50 to 100 TB	0	0	0	0
282560	282560	208107889	1 to 4	0			35	26	9	3	7	0	0	25 to 50 TB	0	0	0	0
282570	282570	208108051	0	0			4	3	1	0	2	0	0	10 to 25 TB	0	0	0	0
282572	282572	208108088	0	0			4	3	1	0	2	0	0	1 to 10 TB	0	0	0	0
282582	282582	208108302	1 to 4	0			21	16	5	2	5	0	0	1 to 10 TB	0	0	0	0
282583	282583	208108304	1 to 4	0			12	9	3	1	4	0	0	1 to 10 TB	0	0	0	0
282587	282587	208108405	1 to 4	0			33	28	5	9	5	0	0	100 to 500 TB	0	0	0	0
282591	282591	208108434	0	0			5	3	2	0	2	0	0	10 to 25 TB	0	0	0	0
282599	282599	208108649	0	0			7	5	2	0	2	0	0	1 to 10 TB	0	0	0	0
282607	282607	208449274	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282614	282614	208449377	0	0			12	7	5	0	3	0	0	10 to 25 TB	0	0	0	0
282616	282616	208449472	0	0			11	7	4	1	4	0	0	50 to 100 TB	0	0	0	0
282620	282620	208449482	1 to 4	0			33	22	11	5	8	0	0	100 to 500 TB	0	0	0	0
282627	282627	208449558	0	0			9	8	1	1	3	0	0	1 to 10 TB	0	0	0	0
282630	282630	208449616	0	0			7	5	2	1	2	0	0	1 to 10 TB	0	0	0	0
282631	282631	208449621	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282632	282632	208449638	0	0			4	3	1	0	2	0	0	1 to 10 TB	0	0	0	0
282633	282633	208449641	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282636	282636	208449721	0	0			11	7	4	0	3	0	0	10 to 25 TB	0	0	0	0
282641	282641	208449823	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282648	282648	208449903	0	0			7	5	2	1	2	0	0	1 to 10 TB	0	0	0	0
282651	282651	208449926	0	0			5	3	2	0	2	0	0	100 to 500 TB	0	0	0	0
282652	282652	208449946	0	0			9	7	2	1	2	0	0	1 to 10 TB	0	0	0	0
282660	282660	208103880	0	4	1 to 4	0	8	7	1	0	4	0	0	1 to 10 TB	0	0	0	0
282661	282661	208103888	0	1	1 to 4	0	4	3	1	0	2	0	0	10 to 25 TB	0	0	0	0
282664	282664	208103940	1 to 4	2	5 to 9	0	11	9	2	2	3	0	0	10 to 25 TB	0	0	0	0
282678	282678	208104247	0	0		0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282689	282689	208104525	0	41	50 to 99	0	83	55	28	23	31	0	0	3+ PB	0	0	0	0
282690	282690	208104527	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
282692	282692	208104546	0	2	5 to 9	0	12	9	3	1	3	0	0	100 to 500 TB	0	0	0	0
282693	282693	208104594		3	10 to 24	0	1396	1192	204	114	339	0	0	500 TB to 1 PB	0	0	0	0
282704	282704	208104841		2	1 to 4	0	47	36	11	6	10	0	0	500 TB to 1 PB	0	0	0	0
