level_0	index	SITEID	REF_TYPE	REF_ID
7618	7618	208129704	DUN	244715426
7655	7655	208011444	DUN	246309426
7656	7656	208108752	DUN	201525610
7692	7692	208103672	DUN	248022142
7693	7693	208910962	DUN	208770748
7705	7705	208102767	DUN	258156611
7721	7721	208109773	DUN	202228763
7730	7730	208123696	DUN	240798467
7741	7741	208052862	DUN	240573282
7751	7751	208128739	DUN	243931420
7767	7767	208111079	DUN	202926523
7768	7768	208082765	DUN	253957443
7850	7850	208126887	DUN	243175663
7855	7855	208107447	DUN	200001209
7880	7880	208103929	DUN	202115036
7894	7894	208079167	DUN	252573100
7919	7919	208462005	DUN	258796440
7922	7922	208111842	DUN	203023585
7943	7943	208471004	DUN	253556211
7945	7945	208135575	DUN	258359207
7964	7964	208118473	DUN	247149847
7966	7966	208134086	DUN	256234766
8003	8003	208031453	DUN	202828245
8010	8010	208828017	DUN	245071019
8033	8033	208107276	DUN	246868975
8041	8041	208024703	DUN	201069817
8062	8062	208466694	DUN	242103449
8068	8068	209103050	DUN	200158558
8069	8069	208095156	DUN	202765157
8072	8072	208106439	DUN	251050910
8139	8139	208096314	DUN	208867507
8151	8151	208073020	DUN	249880055
8210	8210	208135625	DUN	258884902
8211	8211	208105284	DUN	243784311
8214	8214	208094489	DUN	201138711
8220	8220	209120908	DUN	
8267	8267	208034085	DUN	203632489
8275	8275	208446926	DUN	200120392
8309	8309	208061568	DUN	243120305
8367	8367	208063859	DUN	243550006
8395	8395	208063262	DUN	243465767
8396	8396	208027541	DUN	202019118
8399	8399	208457213	DUN	248356099
8409	8409	208072022	DUN	249355652
8412	8412	208057798	DUN	241748375
8447	8447	208130570	DUN	245173419
8598	8598	208112704	DUN	204275804
8632	8632	208124159	DUN	240836085
8641	8641	208127690	DUN	250192390
8683	8683	208950114	DUN	203785600
8722	8722	208111720	DUN	203177303
8739	8739	208113148	DUN	203978895
8743	8743	208381191	DUN	241020200
8777	8777	208122032	DUN	248604147
8962	8962	208046914	DUN	208601823
8963	8963	208469288	DUN	207648838
8976	8976	209081486	DUN	246311596
8998	8998	208045587	DUN	207971149
9057	9057	208136512	DUN	259494560
9087	9087	208102556	DUN	256894320
9109	9109	208109491	DUN	202527065
9125	9125	208061752	DUN	243177677
9128	9128	208094342	DUN	200163181
9131	9131	208033350	DUN	203255513
9165	9165	208116948	DUN	251406828
9180	9180	208137841	DUN	209947691
9187	9187	208105520	DUN	243932378
9196	9196	208116226	DUN	208844022
9219	9219	208078183	DUN	252339411
9241	9241	208123660	DUN	252971635
9251	9251	208062075	DUN	243244894
9254	9254	208106188	DUN	248525920
9301	9301	208066074	DUN	244351375
9336	9336	208072509	DUN	249460205
9339	9339	208128989	DUN	244245275
9363	9363	208042549	DUN	207074410
9416	9416	208128456	DUN	250447844
9440	9440	209149267	DUN	247968600
9460	9460	208085477	DUN	255046476
9483	9483	208103605	DUN	249706052
9492	9492	208047903	DUN	209114412
9505	9505	208047670	DUN	208910419
9573	9573	208086543	DUN	256103367
9575	9575	208450256	DUN	205834463
9588	9588	208024686	DUN	201067076
9593	9593	208111096	DUN	202809930
9599	9599	208455024	DUN	244653023
9605	9605	209071813	DUN	202882148
9625	9625	208070436	DUN	248579898
9682	9682	208103530	DUN	246984041
9685	9685	208137729	DUN	205346906
9688	9688	208071005	DUN	248814824
9715	9715	208127819	DUN	243730392
9716	9716	208127967	DUN	243761165
9724	9724	208009391	DUN	242253250
9763	9763	208172735	DUN	207124871
9783	9783	208821308	DUN	202978623
9800	9800	208047730	DUN	208973169
9905	9905	208080693	DUN	253552004
9924	9924	208128014	DUN	243688608
9983	9983	208098295	DUN	244026472
10014	10014	208352706	DUN	242499973
10016	10016	208125944	DUN	242186257
10021	10021	208448938	DUN	203086314
10028	10028	208452905	DUN	241005490
10035	10035	208080793	DUN	253569123
10102	10102	208451005	DUN	207174116
10116	10116	208123735	DUN	240616875
10137	10137	209073390	DUN	202541942
10150	10150	208012064	DUN	246771869
10155	10155	208098291	DUN	244023982
10186	10186	208079209	DUN	252578026
10215	10215	208037155	DUN	205536860
10217	10217	208071199	DUN	248954067
10230	10230	208042977	DUN	207124293
10266	10266	208113300	DUN	205420060
10299	10299	208840622	DUN	201647562
10314	10314	208456607	DUN	247384337
10356	10356	208010917	DUN	202144275
10360	10360	208011916	DUN	240850099
10447	10447	208449510	DUN	203576020
10451	10451	208133014	DUN	254583107
10469	10469	208654181	DUN	252237029
10501	10501	208106287	DUN	249046103
10513	10513	208111975	DUN	203241521
10524	10524	208125448	DUN	242034770
10535	10535	208049038	DUN	209725167
10540	10540	208464362	DUN	252854351
10567	10567	208456480	DUN	247090223
10589	10589	209192097	DUN	247973493
10620	10620	208082631	DUN	253926372
10678	10678	208119071	DUN	247505113
10708	10708	208076503	DUN	251969770
10748	10748	208129150	DUN	250670234
10768	10768	208378151	DUN	203330147
10800	10800	209092548	DUN	203326400
10805	10805	208109931	DUN	202358776
10889	10889	208314102	DUN	203505169
10893	10893	208869415	DUN	247872182
10901	10901	208038391	DUN	205780708
10909	10909	208589590	DUN	255901980
10914	10914	208454194	DUN	243511115
10965	10965	209341069	DUN	203702951
10968	10968	208044828	DUN	207658105
11001	11001	208105049	DUN	243510161
11008	11008	208094908	DUN	202270393
11139	11139	208115439	DUN	207970513
11161	11161	208094171	DUN	259919611
11193	11193	208110990	DUN	202909743
11287	11287	208113999	DUN	205889061
11301	11301	208458703	DUN	251861402
11314	11314	208080384	DUN	253322200
11375	11375	208124250	DUN	249441122
11388	11388	209274006	DUN	251913062
11440	11440	208127680	DUN	243552486
11506	11506	208121847	DUN	248525961
11507	11507	208286903	DUN	248343543
11510	11510	209073640	DUN	207138145
11516	11516	208352701	DUN	203330790
11574	11574	209121103	DUN	201586553
11577	11577	208463446	DUN	242341398
11584	11584	208035857	DUN	205319507
11609	11609	208129539	DUN	244324513
11637	11637	208986951	DUN	204035935
11734	11734	208451505	DUN	208516331
11740	11740	208113288	DUN	205401698
11757	11757	208025461	DUN	201261653
11769	11769	208126635	DUN	249982567
11773	11773	208589053	DUN	203174941
11861	11861	208453105	DUN	241452437
11905	11905	208111893	DUN	203218131
11916	11916	208099848	DUN	246495873
11918	11918	208928405	DUN	202665170
11932	11932	208094385	DUN	200335102
11938	11938	208458508	DUN	251223306
11941	11941	208055754	DUN	241110498
11966	11966	208012601	DUN	201926594
11983	11983	208001728	DUN	205421118
12019	12019	208148786	DUN	258474386
12026	12026	208133203	DUN	254912004
12050	12050	208470159	DUN	203235486
12060	12060	208450568	DUN	206328408
12073	12073	208066767	DUN	245152616
12095	12095	208103806	DUN	200137896
12125	12125	208654423	DUN	249430596
12151	12151	208025342	DUN	201252975
12226	12226	208132051	DUN	245971903
12243	12243	208457502	DUN	248709404
12308	12308	209092693	DUN	241808828
12319	12319	208469905	DUN	203624085
12320	12320	208046689	DUN	208524814
12342	12342	208042959	DUN	207123899
12363	12363	208454798	DUN	244381260
12384	12384	208108784	DUN	201852162
12400	12400	208933641	DUN	243672255
12403	12403	209411427	DUN	203719914
12497	12497	208115880	DUN	208514666
12537	12537	208044009	DUN	207278263
12547	12547	207244262	DUN	243639221
12573	12573	208041916	DUN	206556834
12622	12622	208122559	DUN	248897951
12668	12668	208092915	DUN	259055481
12717	12717	208131902	DUN	246131320
12724	12724	208117350	DUN	246684013
12764	12764	208589780	DUN	243175676
12801	12801	208111046	DUN	202922548
12824	12824	208175122	DUN	255114779
12837	12837	208128318	DUN	250409336
12840	12840	208452344	DUN	240293530
12843	12843	208451647	DUN	208787606
12844	12844	208073491	DUN	250203239
12849	12849	207208675	DUN	243840704
12900	12900	208460453	DUN	255248460
12908	12908	208464481	DUN	245259700
12925	12925	208469670	DUN	251046165
12937	12937	208120254	DUN	252930680
12964	12964	208451512	DUN	208528047
12965	12965	208096214	DUN	208602631
12990	12990	208449655	DUN	204175285
13025	13025	208071363	DUN	249015504
13085	13085	208447851	DUN	201912586
13094	13094	208013135	DUN	245577601
13095	13095	208094387	DUN	200376320
13173	13173	208096650	DUN	240192542
13174	13174	208085207	DUN	254954563
13260	13260	208114903	DUN	206985587
